Unit,System,Equipment,Tag Name
PAITON1,Air & Flue Gas System,COLLECTING_RAPPING_SYSTEM_A_5,1PT-BA049
PAITON1,Air & Flue Gas System,COLLECTING_RAPPING_SYSTEM_B_5,1PT-BA056
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1FX-BA111
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1FI-BA110
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1PT-BA035A
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1PT-BA035B
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1PT-BA035C
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1PI-BA035
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1PDI-BA033
PAITON1,Air & Flue Gas System,DUCTING_SYSTEM_5,1PDI-BA061
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1FI-BA109
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1FI-BA486
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1FT-BA486A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1FT-BA486B
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1FT-BA486C
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1VT-BA523A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1PT-BA042
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1IT-BA040
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1VT-BA522A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA527A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1ZT-BA486
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1IT-BA039
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA643
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1VT-BA525A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA642
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1VT-BA524A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA632
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA634
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA636
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1VT-BA521A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA526A
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_A_5,1TE-BA647
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1FI-BA485
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1VT-BA523B
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1PT-BA046
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1VT-BA522B
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1TE-BA527B
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1ZT-BA485
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1IT-BA043
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1TE-BA655
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1VT-BA525B
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1TE-BA654
PAITON1,Air & Flue Gas System,FORCED_DRAFT_FAN_B_5,1VT-BA524B
