f_unit_id,f_address_no,limit_mae,limit_deviation,f_model_date,sigma_lower,sigma_upper
1,1PT-BA049,,,,2.576,2.576
1,1PT-BA056,,,,2.576,2.576
1,1FX-BA111,,,,2.576,2.576
1,1FI-BA110,,,,2.576,2.576
1,1PT-BA035A,,,,2.576,2.576
1,1PT-BA035B,,,,2.576,2.576
1,1PT-BA035C,,,,2.576,2.576
1,1PI-BA035,,,,2.576,2.576
1,1PDI-BA033,,,,2.576,2.576
1,1PDI-BA061,,,,2.576,2.576
1,1FI-BA109,,,,2.576,2.576
1,1FI-BA486,,,,2.576,2.576
1,1FT-BA486A,,,,2.576,2.576
1,1FT-BA486B,,,,2.576,2.576
1,1FT-BA486C,,,,2.576,2.576
1,1VT-BA523A,,,,2.576,2.576
1,1PT-BA042,,,,2.576,2.576
1,1IT-BA040,,,,2.576,2.576
1,1VT-BA522A,,,,2.576,2.576
1,1TE-BA527A,,,,2.576,2.576
1,1ZT-BA486,,,,2.576,2.576
1,1IT-BA039,,,,2.576,2.576
1,1TE-BA643,,,,2.576,2.576
1,1VT-BA525A,,,,2.576,2.576
1,1TE-BA642,,,,2.576,2.576
1,1VT-BA524A,,,,2.576,2.576
1,1TE-BA632,,,,2.576,2.576
1,1TE-BA634,,,,2.576,2.576
1,1TE-BA636,,,,2.576,2.576
1,1VT-BA521A,,,,2.576,2.576
1,1TE-BA526A,,,,2.576,2.576
1,1TE-BA647,,,,2.576,2.576
1,1FI-BA485,,,,2.576,2.576
1,1VT-BA523B,,,,2.576,2.576
1,1PT-BA046,,,,2.576,2.576
1,1VT-BA522B,,,,2.576,2.576
1,1TE-BA527B,,,,2.576,2.576
1,1ZT-BA485,,,,2.576,2.576
1,1IT-BA043,,,,2.576,2.576
1,1TE-BA655,,,,2.576,2.576
1,1VT-BA525B,,,,2.576,2.576
1,1TE-BA654,,,,2.576,2.576
1,1VT-BA524B,,,,2.576,2.576
1,1TE-BA644,,,,2.576,2.576
1,1TE-BA646,,,,2.576,2.576
1,1TE-BA648B,,,,2.576,2.576
1,1VT-BA521B,,,,2.576,2.576
1,1TE-BA526B,,,,2.576,2.576
1,1TE-BA648,,,,2.576,2.576
1,1AT-BA150,,,,2.576,2.576
1,1PT-BA053,,,,2.576,2.576
1,1AT-BA153,,,,2.576,2.576
1,1AT-BA152,,,,2.576,2.576
1,1VT-BA518A,,,,2.576,2.576
1,1ZT-BA035A,,,,2.576,2.576
1,1TE-BA501A,,,,2.576,2.576
1,1VT-BA517A,,,,2.576,2.576
1,1ZT-BA035B,,,,2.576,2.576
1,1TE-BA550,,,,2.576,2.576
1,1TE-BA514A,,,,2.576,2.576
1,1TE-BA507A,,,,2.576,2.576
1,1TE-BA515A,,,,2.576,2.576
1,1TE-BA506A,,,,2.576,2.576
1,1TE-BA508A,,,,2.576,2.576
1,1TE-BA505A,,,,2.576,2.576
1,1TE-BA503A,,,,2.576,2.576
1,1TE-BA504A,,,,2.576,2.576
1,1TE-BA502A,,,,2.576,2.576
1,1AT-BA151,,,,2.576,2.576
1,1IT-BA058,,,,2.576,2.576
1,1ST-BA057,,,,2.576,2.576
1,1TE-BA551,,,,2.576,2.576
1,1TE-BA553,,,,2.576,2.576
1,1TE-BA555,,,,2.576,2.576
1,1TE-BA561,,,,2.576,2.576
1,1TE-BA562,,,,2.576,2.576
1,1TY-BA630,,,,2.576,2.576
1,1TY-BA634,,,,2.576,2.576
1,1VT-BA519B,,,,2.576,2.576
1,1VT-BA520B,,,,2.576,2.576
1,1ZT-BA035C,,,,2.576,2.576
1,1ZT-BA035D,,,,2.576,2.576
1,1ZT-BA057,,,,2.576,2.576
1,1PT-BA063,,,,2.576,2.576
1,1VT-BA530A,,,,2.576,2.576
1,1VT-BA529A,,,,2.576,2.576
1,1TE-BA534A,,,,2.576,2.576
1,1IT-BA062,,,,2.576,2.576
1,1TE-BA576,,,,2.576,2.576
1,1TE-BA575,,,,2.576,2.576
1,1VT-BA531A,,,,2.576,2.576
1,1TE-BA563,,,,2.576,2.576
1,1TE-BA565,,,,2.576,2.576
1,1TE-BA567,,,,2.576,2.576
1,1VT-BA528A,,,,2.576,2.576
1,1TE-BA533A,,,,2.576,2.576
1,1TE-BA611,,,,2.576,2.576
1,1ZT-BA061A,,,,2.576,2.576
1,1PT-BA074,,,,2.576,2.576
1,1VT-BA530B,,,,2.576,2.576
1,1VT-BA529B,,,,2.576,2.576
1,1TE-BA534B,,,,2.576,2.576
1,1IT-BA073,,,,2.576,2.576
1,1TE-BA578,,,,2.576,2.576
1,1VT-BA532B,,,,2.576,2.576
1,1TE-BA577,,,,2.576,2.576
1,1TE-BA569,,,,2.576,2.576
1,1TE-BA571,,,,2.576,2.576
1,1TE-BA573,,,,2.576,2.576
1,1VT-BA528B,,,,2.576,2.576
1,1TE-BA533B,,,,2.576,2.576
1,1TE-BA610,,,,2.576,2.576
1,1ZT-BA061B,,,,2.576,2.576
1,1TY-BA617,,,,2.576,2.576
1,1TE-BA495,,,,2.576,2.576
1,1TY-BA633,,,,2.576,2.576
1,1PDX-BA125,,,,2.576,2.576
1,1PT-BA068,,,,2.576,2.576
1,1PDX-BA127,,,,2.576,2.576
1,1PT-BA065,,,,2.576,2.576
1,1TE-BA649,,,,2.576,2.576
1,1TE-BA651,,,,2.576,2.576
1,1TI-BA072,,,,2.576,2.576
1,1PT-BA070,,,,2.576,2.576
