system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
#1 GENERATOR SYSTEM,#1 GENERATOR TRANSFORMER,10BAT01-911,0.0,0,12
#1 GENERATOR SYSTEM,#1 GENERATOR TRANSFORMER,10BAT01-912,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR TRANSFORMER,10BAT01-913,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR TRANSFORMER,10BAT01-914,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR TRANSFORMER,10BAT01-915,0.0,7,5
#1 GENERATOR SYSTEM,#1 GENERATOR TRANSFORMER,10BAT01-916,0.0,0,12
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L1,10CBA01XQ92,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L1,10CBA01XQ93,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L1,10CBA01XQ95,0.0,12,0
#1 BOILER SYSTEM,#1 LTSH,10HAH21CT901,11.0,0,12
#1 BOILER SYSTEM,#1 LTSH,10HAH22CT901,11.0,0,12
#1 FEED WATER SYSTEM,#1 ELECTRIC FEED WATER PUMP A,10LAC20CT916,0.0,0,12
#1 FEED WATER SYSTEM,#1 HIGH PRESSURE HEATER 1,10LCH10CT901,0.0,12,0
#1 FEED WATER SYSTEM,#1 HIGH PRESSURE HEATER 2,10LCH20CT901,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 4,10LCJ40CT901,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 5,10LCJ50CT901,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 6,10LCJ60CT901,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 7,10LCJ70CT901,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,10MKA01-911,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,10MKA01-912,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,10MKA01-913,0.0,0,12
#1 GENERATOR SYSTEM,#1 GENERATOR,10MKA20CT801,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,10MKA20CT802,0.0,12,0
#1 CIRCULATING WATER SYSTEM,#1 TRAVELING SCREEN A,10PAB11LT901,0.0,12,0
#1 CIRCULATING WATER SYSTEM,#1 TRAVELING SCREEN B,10PAB12LT901,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,10PAB30CP902,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,10PAB31CP902,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,10PAB41CT901,0.0,12,0
#1 CCCW SYSTEM,#1 HE CCCW A,10PGB40CT901,0.0,0,12
#1 LIMESTONE INJECTION SYSTEM,#1 LIMESTONE INJECTION SYSTEM,KALTIM 0.SIGNAL.AI.10BFA07ACE001,0.0,0,12
#1 LIMESTONE INJECTION SYSTEM,#1 LIMESTONE INJECTION SYSTEM,KALTIM 0.SIGNAL.AI.10BFB07ACE001,0.0,0,12
