system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
ELECTRICAL SYSTEM #1,TRANSFORMER UAT #1,10BBT01-901,0.0,36,0
ELECTRICAL SYSTEM #1,TRANSFORMER UAT #1,10BBT01-902,0.0,36,0
ELECTRICAL SYSTEM #1,TRANSFORMER UAT #1,10BBT01-903,0.0,0,36
BOILER & FURNACE SYSTEM #1,FURNACE #1,10H10CP904,0.0,5,31
BOILER & FURNACE SYSTEM #1,FURNACE #1,10H10CT907,2.0,0,36
BOILER & FURNACE SYSTEM #1,FURNACE #1,10H10CT908,2.0,4,32
BOILER & FURNACE SYSTEM #1,SUPERHEATER #1,10HAH11CT901,0.0,0,36
BOILER & FURNACE SYSTEM #1,SUPERHEATER #1,10HAH21CT901,0.0,36,0
BOILER & FURNACE SYSTEM #1,SUPERHEATER #1,10HAH21CT904,0.0,28,8
BOILER & FURNACE SYSTEM #1,SUPERHEATER #1,10HAH22CT901,0.0,6,30
BOILER & FURNACE SYSTEM #1,SUPERHEATER #1,10HAH22CT904,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.2 #1,10LAB20CT903,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,10LAB30CT901,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.3 #1,10LAB30CT903,0.0,0,36
FEEDWATER SYSTEM #1,T-BFP #1A,10LAC11CT909,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,10LAC11CT910,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,10LAC12CT909,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,10LAC12CT910,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,10LBQ10CP901,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.2 #1,10LBQ20CP901,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.3 #1,10LBQ30CP901,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.5 #1,10LBS50CP901,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.6 #1,10LBS60CP901,11.0,0,36
CONDENSATE SYSTEM #1,LP HEATER NO.7 #1,10LBS70CP901,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.8 #1,10LBS80CP901,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.5 #1,10LCJ50CT902,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.6 #1,10LCJ60CT902,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.7 #1,10LCJ70CT902,0.0,0,36
CONDENSATE SYSTEM #1,LP HEATER NO.8 #1,10LCJ80CT902,0.0,0,36
FEEDWATER SYSTEM #1,T-BFP #1A,10MAV50CT901,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,10MAV60CT901,0.0,0,36
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,10PAA21CL901,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,10PAA31CL901,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 B,10PAA32CL901,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,10PAH31CP901,0.0,0,36
CONDENSATE SYSTEM #1,CONDENSER #1,10PAH31CT901,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,10PAH32CP901,0.0,0,36
CONDENSATE SYSTEM #1,CONDENSER #1,10PAH32CT901,0.0,36,0
CLOSE COOLING SYSTEM #1,CLOSED COOLING WATER PIPE #1,10PGA31CT901,0.0,0,36
CLOSE COOLING SYSTEM #1,CLOSED COOLING WATER PIPE #1,10PGA40CT901,0.0,0,36
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 B,OPC.AW0003.0CAI.AI050608.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,OPC.AW0003.0CAI.AI050703.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,OPC.AW0003.0CAI.AI094501.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 B,OPC.AW0003.0CAI.AI094502.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,OPC.AW0003.0CAI.AI094601.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,OPC.AW0003.0CAI.AI094602.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 A,OPC.AW0003.0CAI.AI094607.PNT,0.0,36,0
COOLING WATER SYSTEM #1,CIRCULATING WATER PUMP #1 B,OPC.AW0003.0CAI.AI094701.PNT,0.0,36,0
