system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
P1071,ECONOMIZER #1,1AIT-PS311N,0.0,12,0
P1071,ECONOMIZER #1,1AR-BA018,0.0,12,0
P1071,ECONOMIZER #1,1AR-BA019,0.0,12,0
,INDUCED DRAFT FAN #1A,1AT-BA150,0.0,12,0
,INDUCED DRAFT FAN #1A,1AT-BA151,0.0,12,0
,INDUCED DRAFT FAN #1A,1AT-BA152,0.0,12,0
,INDUCED DRAFT FAN #1A,1AT-BA153,0.0,12,0
P1071,ECONOMIZER #1,1CIT-PS311J,0.0,12,0
,GENERATOR LEADS #1,1CY-MP001,0.0,12,0
P1092,PULVERIZING #1B,1FI-BA084,0.0,12,0
P1093,PULVERIZING #1C,1FI-BA089,0.0,12,0
P1094,PULVERIZING #1A,1FI-BA094,0.0,12,0
P1095,PULVERIZING #1D,1FI-BA099,0.0,12,0
P1096,PULVERIZING #1E,1FI-BA104,0.0,12,0
P1108,FORCED DRAFT FAN #1A,1FI-BA109,0.0,12,0
P1105,DUCTING SYSTEM#1,1FI-BA110,0.0,12,0
P1111,FORCED DRAFT FAN #1B,1FI-BA485,0.0,12,0
P1108,FORCED DRAFT FAN #1A,1FI-BA486,0.0,12,0
P1092,PULVERIZING #1B,1FI-BY517A,0.0,12,0
P1093,PULVERIZING #1C,1FI-BY517B,0.0,12,0
P1094,PULVERIZING #1A,1FI-BY517C,0.0,12,0
P1095,PULVERIZING #1D,1FI-BY517D,0.0,12,0
P1096,PULVERIZING #1E,1FI-BY517E,0.0,12,0
,CONDENSATE PIPING SYSTEM #1,1FI-CD063,0.0,12,0
P1123,BOILER FEED PUMP #1A,1FI-FW066,0.0,12,0
P1124,BOILER FEED PUMP #1B,1FI-FW067,0.0,12,0
P1125,BOILER FEED PUMP #1C,1FI-FW068,0.0,12,0
P1074,SUPERHEATER SYSTEM #1,1FI-FW511,0.0,12,0
,HP TURBINE #1,1FI-MS008,0.0,12,0
P1108,FORCED DRAFT FAN #1A,1FT-BA486A,0.0,12,0
P1108,FORCED DRAFT FAN #1A,1FT-BA486B,0.0,12,0
P1108,FORCED DRAFT FAN #1A,1FT-BA486C,0.0,12,0
P1092,PULVERIZING #1B,1FT-BA560A,0.0,12,0
P1092,PULVERIZING #1B,1FT-BA560B,0.0,12,0
P1092,PULVERIZING #1B,1FT-BA560C,0.0,12,0
P1094,PULVERIZING #1A,1FT-BA568A,0.0,12,0
