f_unit,f_system,f_equipment,f_tag_name
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,DO1E032407_COUT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,DO1E032408_COUT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,DI1E033207_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,DI1E033209_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,DI1I170210_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,CT1E033605_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,IDF-1B,PT1B021202_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,RT1E030605_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,RT1E030604_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,RT1E031603_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,FFLOW1AIN10_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,DI1I170208_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,DI1E031207_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,DI1E031206_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,AO1B024404_MA
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,RT1E046506_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,DO1E032405_COUT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,RT1E046505_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,DI1E033508_CIN
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,RT1E032302_PNT
PLTU Tanjung Awar-Awar 1,AIR AND FLUE GAS SYSTEM,FDF-1B,DI1E030207_CIN
